ID,Название,Дата начала,Статус
8048,Project 8048,2023-01-01,В процессе
8049,Project 8049,2023-04-25,В процессе
8050,Project 8050,2023-08-25,В процессе
8051,Project 8051,2023-02-09,В процессе
8052,Project 8052,2023-02-28,Завершен
8053,Project 8053,2023-10-25,В процессе
8054,Project 8054,2023-06-29,В процессе
8055,Project 8055,2023-05-13,В процессе
8056,Project 8056,2023-07-01,Завершен
8057,Project 8057,2023-07-02,В процессе
8058,Project 8058,2023-05-26,В процессе
8059,Project 8059,2023-01-30,В процессе
8060,Project 8060,2023-10-24,В процессе
8061,Project 8061,2023-06-08,В процессе
8062,Project 8062,2023-06-26,В процессе
8063,Project 8063,2023-10-04,В процессе
8064,Project 8064,2023-10-01,В процессе
8065,Project 8065,2023-02-03,Завершен
8066,Project 8066,2023-10-27,Завершен
8067,Project 8067,2023-09-17,Завершен
8068,Project 8068,2023-02-03,Завершен
8069,Project 8069,2023-07-04,Завершен
8070,Project 8070,2023-03-14,Завершен
8071,Project 8071,2023-09-20,В процессе
8072,Project 8072,2023-07-06,В процессе
8073,Project 8073,2023-12-18,В процессе
8074,Project 8074,2023-04-12,Завершен
8075,Project 8075,2023-05-31,Завершен
8076,Project 8076,2023-03-13,В процессе
8077,Project 8077,2023-10-11,В процессе
8078,Project 8078,2023-01-21,В процессе
8079,Project 8079,2023-01-13,Завершен
8080,Project 8080,2023-07-20,В процессе
8081,Project 8081,2023-12-01,Завершен
8082,Project 8082,2023-11-01,В процессе
8083,Project 8083,2023-06-28,В процессе
8084,Project 8084,2023-08-31,Завершен
8085,Project 8085,2023-11-25,Завершен
8086,Project 8086,2023-12-28,Завершен
8087,Project 8087,2023-11-09,В процессе
8088,Project 8088,2023-10-12,Завершен
8089,Project 8089,2023-08-29,Завершен
8090,Project 8090,2023-03-17,В процессе
8091,Project 8091,2023-10-17,В процессе
8092,Project 8092,2023-03-07,Завершен
8093,Project 8093,2023-04-01,Завершен
8094,Project 8094,2023-07-03,В процессе
8095,Project 8095,2023-09-16,В процессе
8096,Project 8096,2023-04-17,В процессе
8097,Project 8097,2023-10-13,Завершен
8098,Project 8098,2023-04-23,Завершен
8099,Project 8099,2023-07-25,Завершен
8100,Project 8100,2023-12-31,В процессе
8101,Project 8101,2023-08-23,Завершен
8102,Project 8102,2023-12-17,Завершен
8103,Project 8103,2023-03-12,В процессе
8104,Project 8104,2023-12-24,В процессе
8105,Project 8105,2023-08-02,В процессе
8106,Project 8106,2023-07-17,В процессе
8107,Project 8107,2023-12-16,В процессе
8108,Project 8108,2023-05-07,В процессе
8109,Project 8109,2023-10-18,В процессе
8110,Project 8110,2023-08-18,Завершен
8111,Project 8111,2023-09-12,В процессе
8112,Project 8112,2023-10-14,Завершен
8113,Project 8113,2023-06-04,В процессе
8114,Project 8114,2023-12-13,Завершен
8115,Project 8115,2023-07-05,В процессе
8116,Project 8116,2023-06-17,Завершен
8117,Project 8117,2023-01-05,Завершен
8118,Project 8118,2023-10-12,Завершен
8119,Project 8119,2023-02-19,Завершен
8120,Project 8120,2023-02-06,Завершен
8121,Project 8121,2023-07-27,В процессе
8122,Project 8122,2023-08-14,Завершен
8123,Project 8123,2023-03-07,В процессе
8124,Project 8124,2023-08-03,В процессе
8125,Project 8125,2023-11-30,Завершен
8126,Project 8126,2023-10-02,В процессе
8127,Project 8127,2023-05-08,В процессе
8128,Project 8128,2023-07-12,В процессе
8129,Project 8129,2023-01-31,В процессе
8130,Project 8130,2023-03-08,Завершен
8131,Project 8131,2023-09-11,В процессе
8132,Project 8132,2023-12-31,В процессе
8133,Project 8133,2023-02-15,В процессе
8134,Project 8134,2023-06-24,Завершен
8135,Project 8135,2023-06-20,Завершен
8136,Project 8136,2023-07-19,Завершен
8137,Project 8137,2023-05-07,В процессе
8138,Project 8138,2023-04-23,В процессе
8139,Project 8139,2023-10-14,В процессе
8140,Project 8140,2023-06-08,Завершен
8141,Project 8141,2023-09-05,Завершен
8142,Project 8142,2023-03-15,Завершен
8143,Project 8143,2023-08-29,В процессе
8144,Project 8144,2023-02-14,Завершен
8145,Project 8145,2023-07-08,Завершен
8146,Project 8146,2023-10-17,Завершен
8147,Project 8147,2023-07-26,Завершен
8148,Project 8148,2023-03-15,В процессе
8149,Project 8149,2023-07-01,Завершен
8150,Project 8150,2023-09-01,Завершен
8151,Project 8151,2023-08-19,В процессе
8152,Project 8152,2023-06-29,В процессе
8153,Project 8153,2023-05-07,Завершен
8154,Project 8154,2023-08-08,В процессе
8155,Project 8155,2023-01-28,Завершен
8156,Project 8156,2023-05-30,В процессе
8157,Project 8157,2023-12-23,Завершен
8158,Project 8158,2023-09-13,Завершен
8159,Project 8159,2023-09-30,В процессе
8160,Project 8160,2023-03-09,В процессе
8161,Project 8161,2023-05-26,Завершен
8162,Project 8162,2023-07-23,В процессе
8163,Project 8163,2023-03-11,Завершен
8164,Project 8164,2023-03-21,В процессе
8165,Project 8165,2023-12-13,В процессе
8166,Project 8166,2023-01-15,Завершен
8167,Project 8167,2023-07-13,В процессе
8168,Project 8168,2023-09-04,В процессе
8169,Project 8169,2023-12-23,Завершен
8170,Project 8170,2023-12-12,В процессе
8171,Project 8171,2023-02-24,В процессе
8172,Project 8172,2023-09-08,В процессе
8173,Project 8173,2023-06-27,Завершен
8174,Project 8174,2023-11-15,Завершен
8175,Project 8175,2023-01-28,В процессе
8176,Project 8176,2023-04-05,Завершен
8177,Project 8177,2023-11-25,Завершен
8178,Project 8178,2023-01-27,В процессе
8179,Project 8179,2023-08-21,В процессе
8180,Project 8180,2023-08-21,Завершен
8181,Project 8181,2023-11-02,В процессе
8182,Project 8182,2023-10-01,В процессе
8183,Project 8183,2023-11-11,В процессе
8184,Project 8184,2023-10-21,В процессе
8185,Project 8185,2023-02-24,В процессе
8186,Project 8186,2023-08-12,В процессе
8187,Project 8187,2023-10-29,Завершен
8188,Project 8188,2023-07-29,Завершен
8189,Project 8189,2023-03-02,В процессе
8190,Project 8190,2023-06-03,Завершен
8191,Project 8191,2023-06-02,Завершен
8192,Project 8192,2023-12-27,Завершен
8193,Project 8193,2023-05-28,Завершен
8194,Project 8194,2023-08-29,В процессе
8195,Project 8195,2023-01-08,Завершен
8196,Project 8196,2023-10-22,Завершен
8197,Project 8197,2023-12-25,Завершен
8198,Project 8198,2023-01-16,В процессе
8199,Project 8199,2023-08-15,В процессе
8200,Project 8200,2023-03-11,В процессе
8201,Project 8201,2023-11-05,Завершен
8202,Project 8202,2023-03-02,В процессе
8203,Project 8203,2023-06-30,Завершен
8204,Project 8204,2023-06-19,Завершен
8205,Project 8205,2023-04-04,В процессе
8206,Project 8206,2023-10-25,В процессе
8207,Project 8207,2023-09-18,В процессе
8208,Project 8208,2023-05-03,В процессе
8209,Project 8209,2023-12-04,В процессе
8210,Project 8210,2023-04-16,Завершен
8211,Project 8211,2023-03-23,В процессе
8212,Project 8212,2023-06-26,В процессе
8213,Project 8213,2023-08-17,В процессе
8214,Project 8214,2023-04-07,В процессе
8215,Project 8215,2023-03-30,В процессе
8216,Project 8216,2023-10-18,Завершен
8217,Project 8217,2023-11-15,В процессе
8218,Project 8218,2023-06-03,Завершен
8219,Project 8219,2023-12-22,В процессе
8220,Project 8220,2023-03-02,В процессе
8221,Project 8221,2023-12-06,Завершен
8222,Project 8222,2023-08-01,В процессе
8223,Project 8223,2023-02-27,Завершен
8224,Project 8224,2023-09-01,Завершен
8225,Project 8225,2023-05-19,В процессе
8226,Project 8226,2023-03-25,В процессе
8227,Project 8227,2023-10-11,Завершен
8228,Project 8228,2023-10-13,В процессе
8229,Project 8229,2023-07-25,Завершен
8230,Project 8230,2023-01-24,Завершен
8231,Project 8231,2023-12-01,В процессе
8232,Project 8232,2023-03-12,В процессе
8233,Project 8233,2023-09-01,В процессе
8234,Project 8234,2023-08-30,В процессе
8235,Project 8235,2023-12-02,Завершен
8236,Project 8236,2023-01-05,Завершен
8237,Project 8237,2023-04-16,В процессе
8238,Project 8238,2023-03-05,В процессе
8239,Project 8239,2023-05-19,В процессе
8240,Project 8240,2023-06-26,В процессе
8241,Project 8241,2023-11-26,Завершен
8242,Project 8242,2023-12-08,В процессе
8243,Project 8243,2023-06-08,Завершен
8244,Project 8244,2023-12-06,Завершен
8245,Project 8245,2023-12-10,В процессе
8246,Project 8246,2023-07-01,Завершен
8247,Project 8247,2023-09-16,В процессе
8248,Project 8248,2023-12-29,Завершен
8249,Project 8249,2023-08-27,В процессе
8250,Project 8250,2023-11-23,В процессе
8251,Project 8251,2023-07-16,В процессе
8252,Project 8252,2023-05-22,В процессе
8253,Project 8253,2023-05-22,Завершен
8254,Project 8254,2023-08-08,В процессе
8255,Project 8255,2023-11-09,В процессе
8256,Project 8256,2023-12-31,В процессе
8257,Project 8257,2023-01-19,Завершен
8258,Project 8258,2023-01-13,В процессе
8259,Project 8259,2023-05-02,Завершен
8260,Project 8260,2023-07-13,В процессе
8261,Project 8261,2023-03-02,В процессе
8262,Project 8262,2023-07-31,В процессе
8263,Project 8263,2023-02-26,В процессе
8264,Project 8264,2023-07-20,В процессе
8265,Project 8265,2023-03-25,Завершен
8266,Project 8266,2023-09-16,В процессе
8267,Project 8267,2023-08-28,В процессе
8268,Project 8268,2023-05-15,В процессе
8269,Project 8269,2023-05-17,В процессе
8270,Project 8270,2023-01-14,Завершен
8271,Project 8271,2023-12-10,Завершен
8272,Project 8272,2023-08-09,Завершен
8273,Project 8273,2023-03-22,В процессе
8274,Project 8274,2023-11-28,Завершен
8275,Project 8275,2023-07-15,В процессе
8276,Project 8276,2023-08-23,В процессе
8277,Project 8277,2023-08-29,Завершен
8278,Project 8278,2023-10-14,Завершен
8279,Project 8279,2023-04-22,В процессе
8280,Project 8280,2023-05-09,В процессе
8281,Project 8281,2023-01-24,В процессе
8282,Project 8282,2023-05-12,Завершен
8283,Project 8283,2023-07-25,В процессе
8284,Project 8284,2023-05-20,Завершен
8285,Project 8285,2023-08-30,Завершен
8286,Project 8286,2023-06-18,Завершен
8287,Project 8287,2023-01-26,Завершен
8288,Project 8288,2023-10-29,В процессе
8289,Project 8289,2023-09-21,В процессе
8290,Project 8290,2023-06-18,В процессе
8291,Project 8291,2023-09-13,Завершен
8292,Project 8292,2023-12-30,В процессе
8293,Project 8293,2023-08-07,В процессе
8294,Project 8294,2023-11-03,В процессе
8295,Project 8295,2023-04-06,Завершен
8296,Project 8296,2023-10-05,Завершен
8297,Project 8297,2023-09-12,Завершен
8298,Project 8298,2023-08-09,В процессе
8299,Project 8299,2023-07-05,Завершен
8300,Project 8300,2023-06-01,В процессе
8301,Project 8301,2023-11-20,Завершен
8302,Project 8302,2023-05-31,В процессе
8303,Project 8303,2023-07-04,Завершен
8304,Project 8304,2023-12-08,Завершен
8305,Project 8305,2023-07-07,В процессе
8306,Project 8306,2023-10-07,Завершен
8307,Project 8307,2023-03-18,Завершен
8308,Project 8308,2023-09-08,Завершен
8309,Project 8309,2023-06-12,Завершен
8310,Project 8310,2023-06-21,В процессе
8311,Project 8311,2023-05-19,В процессе
8312,Project 8312,2023-09-20,В процессе
8313,Project 8313,2023-12-16,В процессе
8314,Project 8314,2023-04-14,В процессе
8315,Project 8315,2023-05-27,В процессе
8316,Project 8316,2023-09-05,Завершен
8317,Project 8317,2023-01-21,Завершен
8318,Project 8318,2023-08-24,В процессе
8319,Project 8319,2023-02-23,В процессе
8320,Project 8320,2023-01-04,Завершен
8321,Project 8321,2023-01-19,Завершен
8322,Project 8322,2023-10-14,В процессе
8323,Project 8323,2023-11-10,В процессе
8324,Project 8324,2023-04-23,В процессе
8325,Project 8325,2023-02-01,Завершен
8326,Project 8326,2023-10-10,Завершен
8327,Project 8327,2023-11-20,В процессе
8328,Project 8328,2023-06-11,Завершен
8329,Project 8329,2023-12-07,В процессе
8330,Project 8330,2023-01-21,Завершен
8331,Project 8331,2023-04-18,Завершен
8332,Project 8332,2023-07-09,В процессе
8333,Project 8333,2023-11-13,В процессе
8334,Project 8334,2023-03-27,Завершен
8335,Project 8335,2023-06-06,В процессе
8336,Project 8336,2023-02-19,В процессе
8337,Project 8337,2023-11-08,Завершен
8338,Project 8338,2023-05-30,Завершен
8339,Project 8339,2023-03-11,Завершен
8340,Project 8340,2023-01-09,В процессе
8341,Project 8341,2023-08-21,В процессе
8342,Project 8342,2023-05-14,Завершен
8343,Project 8343,2023-10-16,Завершен
8344,Project 8344,2023-09-07,Завершен
8345,Project 8345,2023-04-06,В процессе
8346,Project 8346,2023-03-20,В процессе
8347,Project 8347,2023-02-05,В процессе
8348,Project 8348,2023-03-28,Завершен
8349,Project 8349,2023-04-15,В процессе
8350,Project 8350,2023-08-18,Завершен
8351,Project 8351,2023-01-27,В процессе
8352,Project 8352,2023-01-08,Завершен
8353,Project 8353,2023-06-13,В процессе
8354,Project 8354,2023-04-13,Завершен
8355,Project 8355,2023-08-17,В процессе
8356,Project 8356,2023-03-08,Завершен
8357,Project 8357,2023-09-13,В процессе
8358,Project 8358,2023-09-19,В процессе
8359,Project 8359,2023-02-11,Завершен
8360,Project 8360,2023-01-31,Завершен
8361,Project 8361,2023-04-20,Завершен
8362,Project 8362,2023-08-25,В процессе
8363,Project 8363,2023-12-24,В процессе
8364,Project 8364,2023-02-10,В процессе
8365,Project 8365,2023-03-21,В процессе
8366,Project 8366,2023-06-23,Завершен
8367,Project 8367,2023-08-21,Завершен
8368,Project 8368,2023-12-29,В процессе
8369,Project 8369,2023-05-15,В процессе
8370,Project 8370,2023-01-16,Завершен
8371,Project 8371,2023-06-17,Завершен
8372,Project 8372,2023-02-28,В процессе
8373,Project 8373,2023-11-29,В процессе
8374,Project 8374,2023-10-11,В процессе
8375,Project 8375,2023-09-08,Завершен
8376,Project 8376,2023-09-10,Завершен
8377,Project 8377,2023-07-27,В процессе
8378,Project 8378,2023-06-01,Завершен
8379,Project 8379,2023-08-14,В процессе
8380,Project 8380,2023-04-12,Завершен
8381,Project 8381,2023-05-26,В процессе
8382,Project 8382,2023-09-30,Завершен
8383,Project 8383,2023-06-20,В процессе
8384,Project 8384,2023-01-16,В процессе
8385,Project 8385,2023-03-06,Завершен
8386,Project 8386,2023-10-31,В процессе
8387,Project 8387,2023-10-16,Завершен
8388,Project 8388,2023-05-25,Завершен
8389,Project 8389,2023-11-27,В процессе
8390,Project 8390,2023-12-18,Завершен
8391,Project 8391,2023-01-28,В процессе
8392,Project 8392,2023-03-05,В процессе
8393,Project 8393,2023-10-12,Завершен
8394,Project 8394,2023-04-29,В процессе
8395,Project 8395,2023-02-05,В процессе
8396,Project 8396,2023-01-14,Завершен
8397,Project 8397,2023-07-05,В процессе
8398,Project 8398,2023-02-04,В процессе
8399,Project 8399,2023-05-28,Завершен
8400,Project 8400,2023-10-01,Завершен
8401,Project 8401,2023-12-03,Завершен
8402,Project 8402,2023-07-19,Завершен
8403,Project 8403,2023-03-25,В процессе
8404,Project 8404,2023-12-16,В процессе
8405,Project 8405,2023-05-10,Завершен
8406,Project 8406,2023-06-25,Завершен
8407,Project 8407,2023-02-05,Завершен
8408,Project 8408,2023-05-09,В процессе
8409,Project 8409,2023-06-16,Завершен
8410,Project 8410,2023-03-23,Завершен
8411,Project 8411,2023-08-31,В процессе
8412,Project 8412,2023-04-17,В процессе
8413,Project 8413,2023-10-21,Завершен
8414,Project 8414,2023-06-18,Завершен
8415,Project 8415,2023-08-21,В процессе
8416,Project 8416,2023-08-10,Завершен
8417,Project 8417,2023-09-30,В процессе
8418,Project 8418,2023-08-27,В процессе
8419,Project 8419,2023-02-27,Завершен
8420,Project 8420,2023-06-25,В процессе
8421,Project 8421,2023-01-04,В процессе
8422,Project 8422,2023-07-02,В процессе
8423,Project 8423,2023-12-31,Завершен
8424,Project 8424,2023-12-19,В процессе
8425,Project 8425,2023-04-10,В процессе
8426,Project 8426,2023-08-04,В процессе
8427,Project 8427,2023-10-20,В процессе
8428,Project 8428,2023-08-02,В процессе
8429,Project 8429,2023-03-25,В процессе
8430,Project 8430,2023-05-30,В процессе
8431,Project 8431,2023-12-16,Завершен
8432,Project 8432,2023-02-13,В процессе
8433,Project 8433,2023-02-12,Завершен
8434,Project 8434,2023-01-22,В процессе
8435,Project 8435,2023-07-01,Завершен
8436,Project 8436,2023-12-02,В процессе
8437,Project 8437,2023-09-18,Завершен
8438,Project 8438,2023-08-21,Завершен
8439,Project 8439,2023-08-03,В процессе
8440,Project 8440,2023-05-31,Завершен
8441,Project 8441,2023-09-28,Завершен
8442,Project 8442,2023-07-03,Завершен
8443,Project 8443,2023-07-26,В процессе
8444,Project 8444,2023-06-14,Завершен
8445,Project 8445,2023-03-05,В процессе
8446,Project 8446,2023-10-25,В процессе
8447,Project 8447,2023-12-30,Завершен
8448,Project 8448,2023-05-11,В процессе
8449,Project 8449,2023-05-31,В процессе
8450,Project 8450,2023-05-17,Завершен
8451,Project 8451,2023-04-26,В процессе
8452,Project 8452,2023-01-14,В процессе
8453,Project 8453,2023-06-12,Завершен
8454,Project 8454,2023-09-24,В процессе
8455,Project 8455,2023-05-11,В процессе
8456,Project 8456,2023-02-22,В процессе
8457,Project 8457,2023-03-15,В процессе
8458,Project 8458,2023-04-18,Завершен
8459,Project 8459,2023-11-06,Завершен
8460,Project 8460,2023-10-04,В процессе
8461,Project 8461,2023-03-08,В процессе
8462,Project 8462,2023-07-18,В процессе
8463,Project 8463,2023-05-16,Завершен
8464,Project 8464,2023-10-05,В процессе
8465,Project 8465,2023-02-13,В процессе
8466,Project 8466,2023-11-11,Завершен
8467,Project 8467,2023-04-15,Завершен
8468,Project 8468,2023-06-07,Завершен
8469,Project 8469,2023-08-31,Завершен
8470,Project 8470,2023-01-21,В процессе
8471,Project 8471,2023-04-25,В процессе
8472,Project 8472,2023-01-12,В процессе
8473,Project 8473,2023-09-23,Завершен
8474,Project 8474,2023-07-25,Завершен
8475,Project 8475,2023-03-28,Завершен
8476,Project 8476,2023-08-18,В процессе
8477,Project 8477,2023-09-07,В процессе
8478,Project 8478,2023-06-26,В процессе
8479,Project 8479,2023-12-29,Завершен
8480,Project 8480,2023-11-19,В процессе
8481,Project 8481,2023-10-14,В процессе
8482,Project 8482,2023-11-02,В процессе
8483,Project 8483,2023-12-11,Завершен
8484,Project 8484,2023-07-17,В процессе
8485,Project 8485,2023-07-03,В процессе
8486,Project 8486,2023-01-23,В процессе
8487,Project 8487,2023-11-10,В процессе
8488,Project 8488,2023-03-14,В процессе
8489,Project 8489,2023-07-22,В процессе
8490,Project 8490,2023-01-31,Завершен
8491,Project 8491,2023-10-07,Завершен
8492,Project 8492,2023-08-11,Завершен
8493,Project 8493,2023-05-09,В процессе
8494,Project 8494,2023-09-08,Завершен
8495,Project 8495,2023-06-20,Завершен
8496,Project 8496,2023-12-17,В процессе
8497,Project 8497,2023-04-03,Завершен
8498,Project 8498,2023-06-05,Завершен
8499,Project 8499,2023-03-11,В процессе
8500,Project 8500,2023-11-19,Завершен
8501,Project 8501,2023-01-29,Завершен
8502,Project 8502,2023-04-24,В процессе
8503,Project 8503,2023-02-25,В процессе
8504,Project 8504,2023-07-26,Завершен
8505,Project 8505,2023-12-06,Завершен
8506,Project 8506,2023-03-29,Завершен
8507,Project 8507,2024-01-01,В процессе
8508,Project 8508,2023-09-16,В процессе
8509,Project 8509,2023-08-29,В процессе
8510,Project 8510,2023-06-14,Завершен
8511,Project 8511,2023-11-25,В процессе
8512,Project 8512,2023-11-11,В процессе
8513,Project 8513,2023-08-03,Завершен
8514,Project 8514,2023-06-27,Завершен
8515,Project 8515,2023-12-09,В процессе
8516,Project 8516,2023-10-04,В процессе
8517,Project 8517,2023-05-15,В процессе
8518,Project 8518,2023-10-31,Завершен
8519,Project 8519,2023-10-14,В процессе
8520,Project 8520,2023-03-20,В процессе
8521,Project 8521,2023-02-20,В процессе
8522,Project 8522,2023-05-11,В процессе
8523,Project 8523,2023-08-03,Завершен
8524,Project 8524,2023-07-08,В процессе
8525,Project 8525,2023-03-09,В процессе
8526,Project 8526,2023-04-16,В процессе
8527,Project 8527,2023-08-28,Завершен
8528,Project 8528,2023-04-10,В процессе
8529,Project 8529,2023-01-15,Завершен
8530,Project 8530,2023-01-20,В процессе
8531,Project 8531,2023-12-10,В процессе
8532,Project 8532,2023-11-21,Завершен
8533,Project 8533,2023-01-31,Завершен
8534,Project 8534,2023-10-26,В процессе
8535,Project 8535,2023-05-14,В процессе
8536,Project 8536,2023-04-08,Завершен
8537,Project 8537,2023-10-05,В процессе
8538,Project 8538,2023-01-22,Завершен
8539,Project 8539,2023-02-10,В процессе
8540,Project 8540,2023-09-11,В процессе
8541,Project 8541,2023-12-19,Завершен
8542,Project 8542,2023-11-05,Завершен
8543,Project 8543,2023-07-06,Завершен
8544,Project 8544,2023-01-11,Завершен
8545,Project 8545,2023-07-13,Завершен
8546,Project 8546,2023-08-09,Завершен
8547,Project 8547,2024-01-01,Завершен
8548,Project 8548,2023-12-19,Завершен
8549,Project 8549,2023-01-09,В процессе
8550,Project 8550,2023-06-12,В процессе
8551,Project 8551,2023-03-18,Завершен
8552,Project 8552,2023-09-18,В процессе
8553,Project 8553,2023-09-19,В процессе
8554,Project 8554,2023-08-14,В процессе
8555,Project 8555,2023-05-04,Завершен
8556,Project 8556,2023-10-26,В процессе
8557,Project 8557,2023-12-27,В процессе
8558,Project 8558,2023-05-29,В процессе
8559,Project 8559,2023-12-03,Завершен
8560,Project 8560,2023-12-15,В процессе
8561,Project 8561,2023-02-03,Завершен
8562,Project 8562,2023-06-06,Завершен
8563,Project 8563,2023-03-20,Завершен
8564,Project 8564,2023-11-18,Завершен
8565,Project 8565,2023-10-25,В процессе
8566,Project 8566,2023-07-08,Завершен
8567,Project 8567,2023-02-03,Завершен
8568,Project 8568,2023-08-07,В процессе
8569,Project 8569,2023-09-05,В процессе
8570,Project 8570,2023-02-17,Завершен
8571,Project 8571,2023-12-24,Завершен
8572,Project 8572,2023-06-27,В процессе
8573,Project 8573,2023-06-21,Завершен
8574,Project 8574,2023-03-11,Завершен
8575,Project 8575,2023-09-28,Завершен
8576,Project 8576,2023-12-30,Завершен
8577,Project 8577,2023-10-25,В процессе
8578,Project 8578,2023-01-16,Завершен
8579,Project 8579,2023-06-19,Завершен
8580,Project 8580,2023-04-09,Завершен
8581,Project 8581,2023-08-17,В процессе
8582,Project 8582,2023-11-17,В процессе
8583,Project 8583,2023-10-11,В процессе
8584,Project 8584,2023-08-13,В процессе
8585,Project 8585,2023-08-07,В процессе
8586,Project 8586,2023-07-19,Завершен
8587,Project 8587,2023-07-24,В процессе
8588,Project 8588,2023-03-03,В процессе
8589,Project 8589,2023-07-31,Завершен
8590,Project 8590,2023-08-16,В процессе
8591,Project 8591,2023-08-28,В процессе
8592,Project 8592,2023-07-05,В процессе
8593,Project 8593,2023-10-05,Завершен
8594,Project 8594,2023-08-06,Завершен
8595,Project 8595,2023-10-03,Завершен
8596,Project 8596,2023-12-12,В процессе
8597,Project 8597,2023-09-14,Завершен
8598,Project 8598,2023-08-12,В процессе
8599,Project 8599,2023-09-08,Завершен
8600,Project 8600,2023-10-20,Завершен
8601,Project 8601,2023-09-20,Завершен
8602,Project 8602,2023-03-07,Завершен
8603,Project 8603,2023-08-01,Завершен
8604,Project 8604,2023-01-16,Завершен
8605,Project 8605,2023-11-12,В процессе
8606,Project 8606,2023-02-22,В процессе
8607,Project 8607,2023-02-25,Завершен
8608,Project 8608,2023-07-18,Завершен
8609,Project 8609,2023-11-22,Завершен
8610,Project 8610,2023-12-05,Завершен
8611,Project 8611,2023-06-09,Завершен
8612,Project 8612,2023-03-23,Завершен
8613,Project 8613,2023-04-30,В процессе
8614,Project 8614,2023-10-11,Завершен
8615,Project 8615,2023-03-31,Завершен
8616,Project 8616,2023-09-10,Завершен
8617,Project 8617,2023-05-31,В процессе
8618,Project 8618,2023-10-09,В процессе
8619,Project 8619,2023-02-22,В процессе
8620,Project 8620,2023-12-05,Завершен
8621,Project 8621,2023-03-16,В процессе
8622,Project 8622,2023-05-01,В процессе
8623,Project 8623,2023-10-11,Завершен
8624,Project 8624,2023-08-14,Завершен
8625,Project 8625,2023-01-21,В процессе
8626,Project 8626,2023-06-11,Завершен
8627,Project 8627,2023-12-07,Завершен
8628,Project 8628,2023-04-12,В процессе
8629,Project 8629,2024-01-01,В процессе
8630,Project 8630,2023-09-09,Завершен
8631,Project 8631,2023-04-11,Завершен
8632,Project 8632,2023-03-17,Завершен
8633,Project 8633,2023-03-23,Завершен
8634,Project 8634,2023-11-28,Завершен
8635,Project 8635,2023-04-29,В процессе
8636,Project 8636,2023-11-21,В процессе
8637,Project 8637,2023-08-20,В процессе
8638,Project 8638,2023-04-05,В процессе
8639,Project 8639,2023-03-14,В процессе
8640,Project 8640,2023-05-31,В процессе
8641,Project 8641,2023-12-02,Завершен
8642,Project 8642,2023-05-08,Завершен
8643,Project 8643,2023-03-19,В процессе
8644,Project 8644,2023-08-16,В процессе
8645,Project 8645,2023-01-12,Завершен
8646,Project 8646,2023-11-11,Завершен
8647,Project 8647,2023-10-19,В процессе
8648,Project 8648,2023-09-30,В процессе
8649,Project 8649,2023-08-09,Завершен
8650,Project 8650,2023-04-20,В процессе
8651,Project 8651,2023-03-19,В процессе
8652,Project 8652,2023-05-05,Завершен
8653,Project 8653,2023-12-05,В процессе
8654,Project 8654,2023-01-24,Завершен
8655,Project 8655,2023-12-14,В процессе
8656,Project 8656,2023-05-05,Завершен
8657,Project 8657,2023-08-03,Завершен
8658,Project 8658,2023-06-17,Завершен
8659,Project 8659,2023-07-02,В процессе
8660,Project 8660,2023-05-08,Завершен
8661,Project 8661,2023-06-12,Завершен
8662,Project 8662,2023-04-09,В процессе
8663,Project 8663,2023-06-11,Завершен
8664,Project 8664,2023-03-05,Завершен
8665,Project 8665,2023-11-15,В процессе
8666,Project 8666,2023-11-28,В процессе
8667,Project 8667,2023-10-07,В процессе
8668,Project 8668,2023-08-21,Завершен
8669,Project 8669,2023-07-05,В процессе
8670,Project 8670,2023-10-28,В процессе
8671,Project 8671,2023-11-28,Завершен
8672,Project 8672,2023-01-19,В процессе
8673,Project 8673,2023-12-28,В процессе
8674,Project 8674,2023-05-07,Завершен
8675,Project 8675,2023-03-09,В процессе
8676,Project 8676,2023-04-18,В процессе
8677,Project 8677,2023-07-08,В процессе
8678,Project 8678,2023-03-21,В процессе
8679,Project 8679,2023-02-19,В процессе
8680,Project 8680,2023-04-14,В процессе
8681,Project 8681,2023-02-06,В процессе
8682,Project 8682,2023-09-28,Завершен
8683,Project 8683,2023-01-11,В процессе
8684,Project 8684,2023-03-17,В процессе
8685,Project 8685,2023-10-18,В процессе
8686,Project 8686,2023-09-17,Завершен
8687,Project 8687,2023-12-05,В процессе
8688,Project 8688,2023-03-19,В процессе
8689,Project 8689,2023-08-19,Завершен
8690,Project 8690,2023-01-27,В процессе
8691,Project 8691,2023-07-22,Завершен
8692,Project 8692,2023-05-20,В процессе
8693,Project 8693,2023-07-14,Завершен
8694,Project 8694,2023-05-04,Завершен
8695,Project 8695,2023-01-06,В процессе
8696,Project 8696,2023-05-03,Завершен
8697,Project 8697,2023-05-07,В процессе
8698,Project 8698,2023-07-20,В процессе
8699,Project 8699,2023-09-28,Завершен
8700,Project 8700,2023-09-17,В процессе
8701,Project 8701,2023-09-09,В процессе
8702,Project 8702,2023-06-08,Завершен
8703,Project 8703,2023-07-15,Завершен
8704,Project 8704,2023-04-16,В процессе
8705,Project 8705,2023-06-11,В процессе
8706,Project 8706,2023-12-16,Завершен
8707,Project 8707,2023-04-23,Завершен
8708,Project 8708,2023-10-11,В процессе
8709,Project 8709,2023-05-30,Завершен
8710,Project 8710,2023-03-08,Завершен
8711,Project 8711,2023-11-13,В процессе
8712,Project 8712,2023-01-07,Завершен
